"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-04-25",,,,,"16.7","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-04-28",,,,,"19.2","H,,S","23.9",",,I","17.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-04-30",,,,,"13.5","H,,S","18.9",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-05-01",,,,,"14.6","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-05-03",,,,,"18.5","H,,S","21.1",",,I","17.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-05-05",,,,,"21.4","H,,S",,,"15.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-05-08",,,,,"20.1","H,,S","27.8",",,I","12.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-05-09",,,,,"19.7","H,,S","22.8",",,I","16.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-05-14",,,,,"22.6","H,,S","28.9",",,I","20.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-05-16",,,,,"30.0","H,,S",,,"23.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-05-22",,,,,"20.3","H,,S","23.9",",,I","15.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-05-24",,,,,"22.2","H,,S","25.0",",,I","21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-05-25",,,,,"22.2","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-05-27",,,,,"21.9","H,,S","26.1",",,I","16.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-05-28",,,,,"23.1","H,,S","30.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-02",,,,,"21.9","H,,S",,,"18.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-06",,,,,"23.9","H,,S","27.8",",,I","21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-09",,,,,"23.3","H,,S",,,"21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-10",,,,,"26.0","H,,S",,,"21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-12",,,,,"23.9","H,,S","27.2",",,I","21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-13",,,,,"23.6","H,,S","27.8",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-15",,,,,"23.5","H,,S","26.1",",,I","21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-16",,,,,"23.8","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-17",,,,,"23.9","H,,S","26.1",",,I","22.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-18",,,,,"23.3","H,,S","26.1",",,I","22.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-19",,,,,"26.2","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-20",,,,,"24.0","H,,S",,,"18.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-21",,,,,"24.7","H,,S",,,"21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-23",,,,,"25.0","H,,S","27.2",",,I","22.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-24",,,,,"25.0","H,,S","27.2",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-25",,,,,"25.4","H,,S","28.9",",,I","20.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-26",,,,,"26.2","H,,S","27.8",",,I","23.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-27",,,,,"24.0","H,,S","27.2",",,I","21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-06-30",,,,,"25.3","H,,S","28.9",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-01",,,,,"27.5","H,,S","31.1",",,I","23.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-04",,,,,"26.8","H,,S","30.0",",,I","25.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-06",,,,,"25.3","H,,S",,,"21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-07",,,,,"25.3","H,,S",,,"23.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-09",,,,,"26.3","H,,S","28.9",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-10",,,,,"25.6","H,,S","27.8",",,I","22.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-11",,,,,"25.4","H,,S","27.8",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-12",,,,,"26.2","H,,S",,,"21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-13",,,,,"26.4","H,,S",,,"25.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-14",,,,,"25.8","H,,S","27.8",",,I","23.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-16",,,,,"26.7","H,,S","28.9",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-19",,,,,"25.6","H,,S",,,"23.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-20",,,,,"26.4","H,,S","28.9",",,I","22.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-21",,,,,"26.2","H,,S","30.0",",,I","17.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-22",,,,,"26.8","H,,S","35.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-23",,,,,"29.2","H,,S",,,"22.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-24",,,,,"25.6","H,,S","27.8",",,I","22.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-26",,,,,"25.6","H,,S","28.9",",,I","22.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-27",,,,,"27.5","H,,S","31.1",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-29",,,,,"27.1","H,,S","32.8",",,I","26.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-07-30",,,,,"25.8","H,,S","30.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-01",,,,,"29.6","H,,S","32.2",",,I","26.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-02",,,,,"26.9","H,,S","30.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-03",,,,,"26.8","H,,S","28.9",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-04",,,,,"27.2","H,,S","30.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-05",,,,,"27.1","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-06",,,,,"26.8","H,,S","30.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-07",,,,,"27.2","H,,S","30.0",",,I","26.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-08",,,,,"30.3","H,,S","36.1",",,I","17.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-09",,,,,"27.8","H,,S","30.0",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-10",,,,,"27.8","H,,S","30.0",",,I","26.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-11",,,,,"28.1","H,,S","31.1",",,I","22.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-13",,,,,"27.2","H,,S","28.9",",,I","25.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-15",,,,,"26.4","H,,S","31.1",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-27",,,,,"26.4","H,,S","31.1",",,I","22.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-29",,,,,"25.8","H,,S",,,"18.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-30",,,,,"25.8","H,,S",,,"21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-08-31",,,,,"26.0","H,,S","31.1",",,I","21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-01",,,,,"27.5","H,,S",,,"21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-02",,,,,"30.6","H,,S","42.2",",,I","23.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-03",,,,,"27.2","H,,S",,,"26.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-04",,,,,"25.8","H,,S","30.0",",,I","22.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-05",,,,,"27.1","H,,S","31.1",",,I","21.1",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-06",,,,,"28.1","H,,S","30.0",",,I","25.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-10",,,,,"23.1","H,,S","27.2",",,I","20.0",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-11",,,,,"23.2","H,,S","26.1",",,I","18.9",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-13",,,,,"23.8","H,,S","27.2",",,I",,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-14",,,,,"22.8","H,,S","27.2",",,I","17.2",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-15",,,,,"22.7","H,,S","35.0",",,I","17.8",",,I"
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-21",,,,,"23.8","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-23",,,,,"24.2","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-09-30",,,,,"24.3","H,,S",,,,
"TS000060765","GABES, TS","33.88","10.1","4.0","1960-10-01",,,,,"26.0","H,,S",,,,
